city_name,city_id,OBJECTID,CT20,pct_censustract
Pasadena,47,1489,462800,1
Pasadena,47,1490,462900,1
Pasadena,47,1491,463000,0.9989
Sierra Madre,54,1491,463000,0.0001
Unincorporated,31,1491,463000,0
Unincorporated,31,1491,463000,0.001
Arcadia,117,1492,463103,0
Pasadena,47,1492,463103,0.0693
Unincorporated,31,1492,463103,0.9307
Pasadena,47,1493,463200,0.9988
San Marino,48,1493,463200,0
Unincorporated,31,1493,463200,0
Unincorporated,31,1493,463200,0.0012
Pasadena,47,1494,463300,0.0007
San Marino,48,1494,463300,0.0006
Unincorporated,31,1494,463300,0.9988
Pasadena,47,1495,463400,0.9956
San Marino,48,1495,463400,0.0027
Unincorporated,31,1495,463400,0.0017
Pasadena,47,1496,463500,0.9999
San Marino,48,1496,463500,0.0001
Pasadena,47,1497,463601,1
Pasadena,47,1498,463602,1
Pasadena,47,1499,463700,1
Los Angeles,141,1500,463800,0.0007
Pasadena,47,1500,463800,0.9993
Los Angeles,141,1501,463900,0
Pasadena,47,1501,463900,1
South Pasadena,189,1501,463900,0
Pasadena,47,1502,464000,0.9996
San Marino,48,1502,464000,0.0004
South Pasadena,189,1502,464000,0
Pasadena,47,1503,464101,0.0001
San Gabriel,49,1503,464101,0
San Marino,48,1503,464101,0.9999
Unincorporated,31,1503,464101,0
Alhambra,112,1504,464102,0.0002
Pasadena,47,1504,464102,0.001
San Gabriel,49,1504,464102,0
San Marino,48,1504,464102,0.9987
South Pasadena,189,1504,464102,0.0001
Pasadena,47,1505,464200,0.0006
San Gabriel,49,1505,464200,0.0017
San Marino,48,1505,464200,0.9909
Unincorporated,31,1505,464200,0.0001
Unincorporated,31,1505,464200,0.0066
San Gabriel,49,1506,480002,0.0061
San Marino,48,1506,480002,0.0325
Temple City,51,1506,480002,0
Unincorporated,31,1506,480002,0.9615
Arcadia,117,1507,480011,0.0002
Unincorporated,31,1507,480011,0.9998
Arcadia,117,1508,480012,0.0001
Temple City,51,1508,480012,0.2863
Unincorporated,31,1508,480012,0.7136
San Gabriel,49,1509,480101,0.0001
Temple City,51,1509,480101,0.9998
Unincorporated,31,1509,480101,0
Unincorporated,31,1509,480101,0
San Gabriel,49,1510,480102,0.315
Temple City,51,1510,480102,0.1255
Unincorporated,31,1510,480102,0.0006
Unincorporated,31,1510,480102,0.559
Alhambra,112,1511,480201,0.0025
San Gabriel,49,1511,480201,0.997
San Marino,48,1511,480201,0.0004
San Gabriel,49,1512,480202,0.9995
San Marino,48,1512,480202,0
Unincorporated,31,1512,480202,0.0005
Alhambra,112,1513,480302,1
San Gabriel,49,1513,480302,0
Alhambra,112,1514,480303,1
Alhambra,112,1515,480304,1
Alhambra,112,1516,480400,0.9864
San Marino,48,1516,480400,0.0081
South Pasadena,189,1516,480400,0.0055
Alhambra,112,1517,480500,0.0002
San Marino,48,1517,480500,0.0014
South Pasadena,189,1517,480500,0.9984
Pasadena,47,1518,480601,0.0048
San Marino,48,1518,480601,0
South Pasadena,189,1518,480601,0.9952
Los Angeles,141,1519,480602,0
Pasadena,47,1519,480602,0.0066
South Pasadena,189,1519,480602,0.9933
Los Angeles,141,1520,480702,0
South Pasadena,189,1520,480702,1
South Pasadena,189,1521,480703,1
Alhambra,112,1522,480704,0
South Pasadena,189,1522,480704,1
Alhambra,112,1523,480802,1
Los Angeles,141,1523,480802,0
Alhambra,112,1524,480803,1
Los Angeles,141,1524,480803,0
Alhambra,112,1525,480804,1
Los Angeles,141,1525,480804,0
South Pasadena,189,1525,480804,0
Alhambra,112,1526,480901,1
Alhambra,112,1527,480902,1
Alhambra,112,1528,480903,1
Monterey Park,50,1528,480903,0
Alhambra,112,1529,481001,1
Alhambra,112,1530,481002,0.9993
San Gabriel,49,1530,481002,0.0007
Alhambra,112,1531,481101,0
San Gabriel,49,1531,481101,1
San Gabriel,49,1532,481102,0.9921
Unincorporated,31,1532,481102,0.0079
Alhambra,112,1533,481103,0.0001
Rosemead,87,1533,481103,0.0007
San Gabriel,49,1533,481103,0.9992
Unincorporated,31,1533,481103,0
Rosemead,87,1534,481201,0
Temple City,51,1534,481201,0.9988
Unincorporated,31,1534,481201,0.0012
Rosemead,87,1535,481203,0
San Gabriel,49,1535,481203,0.2852
Temple City,51,1535,481203,0.0014
Unincorporated,31,1535,481203,0.0067
Unincorporated,31,1535,481203,0.0081
Unincorporated,31,1535,481203,0.03
Unincorporated,31,1535,481203,0.132
Unincorporated,31,1535,481203,0.5366
Rosemead,87,1536,481300,0.9982
San Gabriel,49,1536,481300,0.0018
Alhambra,112,1537,481401,0.004
San Gabriel,49,1537,481401,0.996
Rosemead,87,1538,481403,0.0035
San Gabriel,49,1538,481403,0.9965
San Gabriel,49,1539,481404,1
Alhambra,112,1540,481500,0.9999
Monterey Park,50,1540,481500,0
San Gabriel,49,1540,481500,0.0001
Alhambra,112,1541,481603,1
Alhambra,112,1542,481604,1
Alhambra,112,1543,481605,0.9987
Monterey Park,50,1543,481605,0.0013
Alhambra,112,1544,481606,1
